target,baseline (mean),baseline (s.d.),DSP (mean),DSP (s.d.),relative inference calls (mean),relative inference calls (s.d.)
CYP3A4,0.669,0.077,0.662,0.025,0.282,0.009
ADRB2,0.767,0.024,0.748,0.017,0.308,0.026
SRC,0.702,0.040,0.671,0.020,0.267,0.025
AKT1,0.738,0.015,0.762,0.027,0.321,0.020
ADORA2A,0.818,0.005,0.817,0.016,0.276,0.025
DHFR,0.663,0.021,0.646,0.021,0.302,0.021
PPARA,0.677,0.046,0.691,0.036,0.327,0.011
MAPKAPK2,0.832,0.015,0.796,0.034,0.273,0.014
EGFR,0.852,0.008,0.847,0.006,0.297,0.017
PGR,0.672,0.030,0.669,0.028,0.426,0.027
MAPK14,0.734,0.014,0.723,0.024,0.327,0.017
PTGS2,0.778,0.026,0.782,0.016,0.367,0.035
PTPN1,0.726,0.022,0.742,0.015,0.308,0.014
FGFR1,0.745,0.007,0.740,0.012,0.300,0.023
ESR1,0.727,0.038,0.701,0.040,0.366,0.029
HSP90AA1,0.666,0.015,0.653,0.018,0.326,0.016
ESR2,0.666,0.014,0.639,0.061,0.420,0.030
AR,0.594,0.009,0.504,0.113,0.439,0.072
REN,0.574,0.022,0.626,0.023,0.292,0.011
NR3C1,0.558,0.036,0.562,0.017,0.591,0.046
BACE1,0.751,0.069,0.731,0.023,0.315,0.023
CASP3,0.795,0.017,0.717,0.040,0.331,0.015
THRB,0.486,0.039,0.490,0.013,0.558,0.051
DRD2,0.763,0.017,0.767,0.025,0.314,0.033
DPP4,0.710,0.034,0.696,0.070,0.324,0.024
LCK,0.731,0.033,0.731,0.020,0.257,0.014
MAP2K1,0.715,0.037,0.742,0.037,0.344,0.022
AKT2,0.681,0.029,0.683,0.050,0.328,0.023
PDE5A,0.783,0.026,0.802,0.006,0.350,0.037
CDK2,0.764,0.028,0.768,0.026,0.285,0.017
DRD3,0.726,0.043,0.746,0.037,0.345,0.040
KIT,0.847,0.018,0.806,0.018,0.278,0.014
PTK2,0.822,0.036,0.833,0.042,0.321,0.021
MAOB,0.303,0.173,0.222,0.160,0.718,0.076
ADRB1,0.779,0.011,0.756,0.016,0.295,0.028
IGF1R,0.682,0.020,0.678,0.027,0.348,0.013
MET,0.706,0.025,0.708,0.017,0.346,0.044
GBA,0.565,0.044,0.577,0.019,0.360,0.043
PPARG,0.590,0.056,0.580,0.075,0.340,0.038
PARP1,0.767,0.037,0.714,0.102,0.304,0.017
MAPK1,0.648,0.031,0.662,0.017,0.313,0.023
JAK2,0.800,0.026,0.807,0.017,0.260,0.015
ADAM17,0.682,0.078,0.735,0.061,0.354,0.048
HSD11B1,0.526,0.029,0.521,0.029,0.503,0.064
CYP2C9,0.718,0.028,0.725,0.020,0.328,0.032
ACHE,0.637,0.051,0.627,0.037,0.393,0.037
CSF1R,0.670,0.021,0.674,0.020,0.283,0.016
KDR,0.810,0.020,0.812,0.014,0.312,0.024
PPARD,0.701,0.016,0.714,0.008,0.296,0.029
F10,0.784,0.030,0.793,0.020,0.357,0.003
PLK1,0.778,0.029,0.790,0.015,0.291,0.021
ABL1,0.918,0.017,0.801,0.029,0.290,0.030
MMP13,0.835,0.045,0.830,0.046,0.301,0.034
CA2,0.727,0.012,0.727,0.028,0.312,0.022
ROCK1,0.662,0.045,0.701,0.035,0.313,0.018
HMGCR,0.610,0.026,0.594,0.019,0.340,0.024
NOS1,0.590,0.015,0.606,0.028,0.343,0.025
F2,0.595,0.015,0.581,0.042,0.336,0.016
