name,smiles,score
lig2326,O=C(CCC1CCOC1)N1C[C@H]2CCC[C@@]2(c2nc(-c3ccccc3)no2)C1,-9.9
lig1075,O=C(NCCc1cccc(-c2ccccc2)c1)[C@@H]1CCCCN1,-9.9
lig6261,Cc1ccc(-c2noc(CN3CC=C(c4c[nH]c5ccccc45)CC3)n2)cc1,-9.9
lig6962,O=C(Nc1ccc2c(c1)COC2)[C@H]1CCO[C@@H]1c1ccnn1Cc1ccccc1,-9.9
lig3196,Cc1nnc([C@]23CCC[C@H]2CN(C(=O)c2cc4[nH]cnc4cc2F)C3)o1,-9.9
lig10159,Nc1nc(CN2CCN(C(=O)c3cc4ccccc4c(=O)[nH]3)CC2)nc2ccccc12,-9.9
lig6791,CN1C(=O)NC2(CCN(C(=O)Nc3cccc(C(=O)c4ccccc4)c3)C2)C1=O,-9.9
lig9965,Cc1nccc(NC(=O)N2CCCC(c3n[nH]cc3NC(=O)C3CCCC3)C2)n1,-9.9
lig8066,O=C1CCN(Cc2nc(C3(c4ccc(F)cc4)CCCCC3)no2)C(=O)N1,-9.8
lig7424,Cc1onc(-c2ccccc2Cl)c1C(=O)NCc1cn(-c2ccccc2)nc1-c1ccncc1,-9.8
lig4785,Cc1nnnn1-c1cccc(NC(=O)c2cccc(NC(=O)C3CC3C)c2)c1,-9.8
lig4553,O=C(CCc1cn[nH]c1)NCC1CCCc2ccc(C(=O)O)cc21,-9.8
lig3604,O=C(c1cnc2ccccc2c1)N1CCCC(c2cc(C(F)(F)F)[nH]n2)C1,-9.8
lig6553,O=C(NCCc1ccccc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,-9.8
lig4418,Cc1nnc(-c2cccc(NC(=O)c3cccc(N4C(=O)CCC4=O)c3)c2)n1C,-9.8
lig8364,O=C(O)c1ccc(CNC(=O)C2(c3ccc(F)cc3)CCOCC2)o1,-9.8
lig8991,O=C(NCc1ccnc(-n2cncn2)c1)N[C@@H]1CCCc2ccccc21,-9.8
lig2170,NC1CCCCN(Cc2nc(-c3cccc4ccccc34)no2)C1=O,-9.8
lig893,Cc1nnnn1-c1cccc(NC(=O)c2ccc3c(c2)CCC3)c1,-9.8
lig7510,COc1ccc(-c2[nH]c3ccccc3c2CCC(=O)N2C[C@@H](C)[C@H](C(N)=O)C2)c(OC)c1,-9.8
lig6871,Cc1nnc2n1CC(C(N)=O)N(C(=O)Cc1ccc3c(c1)CCC3)C2,-9.8
lig8379,O=C1NC(=O)[C@H]2CN(C(=O)NCc3cc(Oc4ccc(F)cc4)ccn3)C[C@@H]12,-9.8
lig215,Fc1ccc(-c2nnc(-c3cnc4onc(-c5ccccc5)c4c3)o2)cc1,-9.8
lig4275,O=C(NCc1cccc(-n2cncn2)c1)NCc1ccc(-n2ccnc2)c(F)c1,-9.7
lig6746,O=C1Nc2ccccc2CC1CCC(=O)N1CCc2c(nc[nH]c2=O)C1,-9.7
lig6510,O=C(NCc1nnc(C2CC2)s1)N1CCC(c2c[nH]c3ccc(F)cc23)CC1,-9.7
lig175,COc1ccccc1Cc1nnc(-c2cnc3onc(-c4ccccc4)c3c2)o1,-9.7
lig8891,Cc1cc(CNC(=O)N2CCOC3(CCOC3)C2)ccc1-c1ccccc1,-9.7
lig4947,CN(CC(=O)O)CC1CN(C(=O)Nc2ccc3c(c2)Cc2ccccc2-3)CCO1,-9.7
lig3579,COc1cc(Cc2noc(C3(C)CCc4ccccc4C3)n2)ccc1S(C)(=O)=O,-9.7
lig8902,CC(NC(=O)Cn1nnc(C2CC2)n1)c1ccc2c(c1)CCCC2,-9.7
lig10293,O=C(NCc1nnnn1-c1ccccc1)C1CCCN1C(=O)Cc1ccccc1,-9.7
lig4935,CC(NC(=O)N1CCC2(C1)Oc1ccccc1O2)c1ccc2[nH]ncc2c1,-9.7
lig825,O=C(Cc1ccc2c(c1)CCC2)Nc1ccc(OC(F)F)c2ncccc12,-9.7
lig1572,Cc1cc(=O)c(C(=O)N2CCC(c3nc(-c4ccc(F)cc4)no3)(C(F)(F)F)C2)c[nH]1,-9.7
lig2682,CCn1ccnc(N2CCC(NC(=O)c3ccc4c(c3)CCOC4)CC2)c1=O,-9.7
lig2425,Cn1cnnc1CC1(O)CCCN(C(=O)c2cnc3ccccc3c2)C1,-9.7
lig5101,CC1CC(C(=O)O)CN(C(=O)Nc2cccc(NC(=O)c3ccccc3)c2)C1,-9.7
lig4705,Cc1noc(C2CCCN(C(=O)NCc3ccc(-n4ccnc4)c(F)c3)C2)n1,-9.7
lig1107,Nc1nccc(C2CCCN(C(=O)c3coc(C4CCCC4)n3)C2)n1,-9.7
lig2480,NC1CCCCN(Cc2nc(-c3ccc4c(c3)CCC4)no2)C1=O,-9.7
lig1618,Cc1noc(CC2(O)CCCN(CCc3ccc4ccccc4c3)C2)n1,-9.7
lig5163,O=C(NCC1(c2ccc(F)cc2)CCOCC1)N1CCCCCC1,-9.7
lig309,Cc1c(C(=O)N2CCCC2)nnn1-c1cccc2c1CCN(Cc1ccc(F)cc1)C2,-9.7
