smiles,score
NC1CCCCN(Cc2nc(-c3cccc4ccccc34)no2)C1=O,9.8
O=C1CC2(CCN(C(=O)c3csc(-c4cnn(-c5ccccc5)c4)n3)C2)CN1,9.6
Clc1cccc(C2(c3nnc(-c4ccc5c(c4)OCCO5)o3)CCOCC2)c1,9.6
CC1c2ccccc2CN1C(=O)NCc1nnc2n1CCOC2,9.6
O=C(NCCC1OCCc2ccccc21)Nc1ccn2ccnc2c1,9.5
Cn1nnnc1CCNC(=O)N1CCCC(c2ccc(F)c(F)c2)C1,9.5
CNC(=O)[C@]12CCOC[C@H]1CN(C(=O)c1ccc3c(c1)CCOC3)C2,9.4
CCc1cc(N2CCC(NC(=O)[C@H]3CC[C@@H](c4ccccc4)O3)CC2)ncn1,9.4
N[C@@H]1CN(C(=O)[C@@H]2C[C@]23CCOc2ccccc23)C[C@H]1c1ccccc1F,9.4
O=C(O)C[C@H](NC(=O)C1CCS(=O)(=O)N1)c1ccc2ccccc2c1,9.2
O=C(O)C(c1ccccc1F)N1CCC(c2nc(-c3ccccc3)n[nH]2)CC1,9.2
Cc1ccc(F)c(CC(=O)N2CCC(c3nnc4ccccn34)CC2)c1,9.2
O=C(Nc1ccccc1)N1CCOCC1c1noc(-c2ccccc2)n1,9.1
NC(=O)CC1CCN(C(=O)CCc2cnn(-c3ccccc3)c2)CC1,9.1
Cc1onc(-c2ccccc2Cl)c1C(=O)NC[C@@H]1C[C@H]1c1ccccc1,9.1
OC1(Cn2ccnn2)CCN(Cc2nnc(-c3ccccc3)o2)C1,9.1
O=C(NCCNC(=O)C1CCCN1Cc1ccccc1)c1cccnc1,9.1
O=C(CNC(=O)NCc1ccc(-n2ccnc2)c(F)c1)NC1CCCCC1,9.0
Cc1c(C(=O)Nc2cccc(F)c2)nnn1-c1cccc2c1CCN(Cc1ccccn1)C2,9.0
Cc1ccc(C(=O)c2ccccc2C(=O)N2CCOC(CC(=O)O)C2)cc1C,9.0
O=C(NCc1c[nH]c(=O)c2ccccc12)[C@]12CC[C@H]1CNC2,9.0
CCNC(=O)c1cccc(CNC(=O)NCc2ccc(-n3ccnc3)c(F)c2)c1,8.9
Cc1cccc(C2(NC(=O)CCc3ccccc3C(=O)O)CCC2)c1,8.9
O=C(NC1CCCc2ccccc21)C1CC(O)CN1c1ccncn1,8.9
O=C(O)CC(NC(=O)C1CCCO1)c1ccc(OC(F)(F)F)cc1,8.9
Cn1nnc2ccc(C(=O)Nc3cccc4c3CNC4=O)cc21,8.9
Cn1cc(-c2nc(C3COCCN3C(=O)CSc3ccccc3)no2)cn1,8.9
NC1(CCNC(=O)N2CCC(c3nc(-c4cccnc4)no3)(C(F)(F)F)C2)CC1,8.9
Cc1nn(C)c(C)c1CCC(=O)N1CCCCCC1c1noc(-c2ccccc2)n1,8.9
CCc1nnc2n1CC(NC(=O)c1cc(-c3ccccc3)on1)CC2,8.9
O=C(O)C1CCCN(S(=O)(=O)c2ccc(C(=O)N3CCCC3)c(F)c2)C1,8.9
CCn1ncnc1CNC(=O)N1CC(c2ccccc2)C2COCCC21,8.9
O=C(CCc1ccccc1O)N1CCC(C(=O)N2CCCCC2)CC1,8.9
O=C(c1cccc2[nH]c(C(F)F)nc12)N1CCN2CCCCC2C1,8.8
CN(CC(=O)N1CCC(C(=O)O)CC1)C(=O)c1ccc2[nH]nnc2c1,8.8
CCCNC(=O)c1cccc(C(=O)Nc2cnn(CC(=O)N3CCOCC3)c2)c1,8.8
Cc1cc(N2CCCC(Nc3ncnc4cc(F)c(F)cc34)C2=O)n(C)n1,8.8
CN1C(=O)C[C@@H](CNC2CC(c3cccc(F)c3)C2)[C@@H]1c1cccnc1,8.8
NC(=O)[C@]12CCOC[C@H]1CN(C(=O)c1cccc(N3CCCC3=O)c1)C2,8.8
CC(C)(CNC(=O)N[C@@H]1CCCc2ccccc21)C1=CCOCC1,8.8
COc1cccc(CCNC(=O)c2cccc(-c3ncn[nH]3)c2)c1,8.8
C[C@H]1OCCN(Cc2cccc(-c3cccnc3)c2)[C@@H]1C(N)=O,8.8
Cn1ccnc1COCC(=O)N1CCC(c2nc(-c3ccncc3)no2)(C(F)(F)F)C1,8.8
O=C(NCC(=O)N1CCCC(n2cncn2)C1)c1ccc2c(c1)OCO2,8.8
O=C(NCc1ccc(-n2ccnc2)c(F)c1)N1CC[C@@H]2CCC[C@@H]21,8.8
Cc1cc(CNC(=O)Nc2cnc3c(c2)COCC3)ccc1F,8.8
COc1cccc(C2CC2C(=O)N(CCC(=O)O)Cc2cccc(F)c2F)c1,8.7
Cn1ncc2ccc(-c3noc([C@]45CNC[C@H]4CCOC5)n3)cc21,8.7
CC1(CCc2ccccc2)CCN(Cc2ccc(C(=O)O)cc2)C1,8.7
O=C(c1cnc2sccn2c1=O)N1CCC2(CCc3ccccc3C2)CC1,8.7
CCOCc1ccc(CNC(=O)[C@H]2CCO[C@@H]2c2cnn(Cc3ccccc3)c2)cc1,8.7
O=C1CCCN1CCC1CN(C(=O)[C@@H]2CCCCN2)c2ccccc21,8.7
CN1CCN(S(=O)(=O)c2ccc(Oc3cccc(Cl)c3)cc2)C(c2ccccc2)C1,8.7
O=C(c1cn[nH]c1)N1CCC(c2ccccc2)(N2CCCC2)CC1,8.7
O=C(CCc1ccccc1C(=O)O)NC1(c2ccccc2)CCC1,8.6
Cc1ccc(C(=O)N2CCC(NC(=O)COc3ccc(C(C)C)cc3)CC2)cc1,8.6
O=C(O)c1cccc(C(=O)N(Cc2cccc(F)c2)CC2CCCO2)n1,8.6
CCOc1ccnc(N2CCN(C(=O)c3cccc4c3CCC4)CC2)n1,8.6
