Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,59.1 (2.9),55.1 (3.0),98.74 (0.15)
retrain,RF,UCB,49.0 (1.4),46.9 (1.3),98.16 (0.11)
retrain,RF,TS,39.8 (2.9),37.6 (2.9),97.49 (0.23)
retrain,RF,EI,41.9 (2.7),40.1 (2.7),97.62 (0.19)
retrain,RF,PI,45.5 (2.4),43.4 (2.2),97.92 (0.15)
retrain,NN,Greedy,74.8 (1.1),70.1 (1.1),99.39 (0.05)
retrain,NN,UCB,74.4 (1.4),70.0 (1.2),99.39 (0.04)
retrain,NN,TS,73.4 (2.3),68.9 (2.3),99.35 (0.07)
retrain,NN,EI,66.1 (3.0),62.2 (2.9),99.08 (0.12)
retrain,NN,PI,67.2 (4.0),63.1 (3.5),99.08 (0.16)
retrain,MPN,Greedy,72.9 (1.3),68.8 (1.0),99.34 (0.03)
retrain,MPN,UCB,72.7 (0.5),68.4 (0.4),99.33 (0.02)
retrain,MPN,TS,70.4 (0.7),66.0 (0.7),99.25 (0.05)
retrain,MPN,EI,67.2 (0.9),62.9 (0.9),99.12 (0.03)
retrain,MPN,PI,69.2 (1.7),64.9 (1.5),99.17 (0.07)
online,RF,Greedy,60.4 (1.2),56.4 (0.9),98.75 (0.04)
online,RF,UCB,43.5 (1.8),41.4 (1.9),97.72 (0.15)
online,RF,TS,28.0 (1.2),26.7 (1.3),96.30 (0.11)
online,RF,EI,38.6 (2.7),37.1 (2.7),97.33 (0.25)
online,RF,PI,46.4 (1.8),44.6 (1.4),98.00 (0.13)
online,NN,Greedy,66.5 (2.2),62.8 (2.0),99.09 (0.10)
online,NN,UCB,52.7 (10.1),49.9 (9.3),98.29 (0.54)
online,NN,TS,55.9 (3.5),52.6 (3.3),98.56 (0.17)
online,NN,EI,39.5 (9.2),37.1 (8.6),97.10 (1.05)
online,NN,PI,38.8 (7.2),36.7 (6.8),97.25 (0.70)
online,MPN,Greedy,58.4 (4.9),54.8 (4.6),98.70 (0.32)
online,MPN,UCB,64.6 (3.5),60.6 (3.5),99.00 (0.15)
online,MPN,TS,62.2 (2.7),58.4 (2.3),98.94 (0.09)
online,MPN,EI,63.3 (2.6),59.2 (2.5),98.95 (0.11)
online,MPN,PI,57.7 (8.1),54.3 (7.6),98.64 (0.44)
