Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,71.4 (2.1),71.3 (2.1),98.79 (0.13)
retrain,RF,UCB,49.2 (7.7),49.1 (7.7),97.47 (0.58)
retrain,RF,TS,71.7 (1.9),71.6 (1.9),98.78 (0.10)
retrain,RF,EI,29.1 (4.4),29.1 (4.4),95.47 (0.59)
retrain,RF,PI,26.4 (4.7),26.4 (4.7),95.03 (0.71)
retrain,NN,Greedy,74.7 (1.4),74.6 (1.4),98.94 (0.08)
retrain,NN,UCB,68.4 (1.4),68.3 (1.4),98.65 (0.07)
retrain,NN,TS,73.8 (1.2),73.7 (1.2),98.92 (0.06)
retrain,NN,EI,41.8 (1.8),41.8 (1.8),96.90 (0.16)
retrain,NN,PI,43.9 (2.1),43.9 (2.1),97.08 (0.17)
retrain,MPN,Greedy,87.9 (2.3),87.9 (2.3),99.56 (0.09)
retrain,MPN,UCB,94.8 (0.1),94.7 (0.1),99.83 (0.00)
retrain,MPN,TS,87.9 (0.2),87.9 (0.2),99.56 (0.01)
retrain,MPN,EI,75.4 (5.4),75.4 (5.4),99.17 (0.24)
retrain,MPN,PI,78.3 (0.9),78.2 (0.9),99.31 (0.04)
online,RF,Greedy,52.3 (3.6),52.3 (3.6),97.70 (0.26)
online,RF,UCB,35.8 (3.1),35.7 (3.1),96.29 (0.32)
online,RF,TS,50.7 (1.5),50.7 (1.5),97.59 (0.11)
online,RF,EI,27.1 (8.0),27.0 (8.0),95.05 (1.12)
online,RF,PI,24.8 (2.9),24.8 (2.9),94.81 (0.51)
online,NN,Greedy,50.7 (5.2),50.7 (5.2),97.59 (0.38)
online,NN,UCB,30.0 (9.7),30.0 (9.7),95.41 (1.16)
online,NN,TS,31.6 (8.6),31.6 (8.6),95.64 (1.11)
online,NN,EI,36.3 (12.6),36.2 (12.6),96.06 (1.38)
online,NN,PI,21.9 (1.6),21.9 (1.6),94.34 (0.30)
online,MPN,Greedy,73.7 (5.7),73.7 (5.7),98.95 (0.29)
online,MPN,UCB,77.8 (5.8),77.7 (5.8),99.26 (0.25)
online,MPN,TS,74.0 (5.2),73.9 (5.2),98.99 (0.25)
online,MPN,EI,60.9 (2.2),60.9 (2.2),98.41 (0.12)
online,MPN,PI,60.2 (7.8),60.2 (7.8),98.32 (0.51)
