Training,Model,Metric,Scores ($\pm$ s.d.),SMILES ($\pm$ s.d.),Average ($\pm$ s.d.)
retrain,RF,Greedy,72.3 (1.9),69.0 (1.9),99.23 (0.07)
retrain,RF,UCB,51.0 (2.9),48.9 (2.9),98.25 (0.15)
retrain,RF,TS,57.5 (1.4),54.8 (1.5),98.60 (0.05)
retrain,RF,EI,32.6 (3.1),31.3 (3.0),96.86 (0.28)
retrain,RF,PI,29.3 (5.2),28.3 (5.0),96.54 (0.52)
retrain,NN,Greedy,88.8 (0.8),83.9 (0.8),99.63 (0.03)
retrain,NN,UCB,86.7 (0.5),82.1 (0.6),99.59 (0.01)
retrain,NN,TS,85.0 (0.9),80.4 (0.9),99.53 (0.03)
retrain,NN,EI,56.6 (4.3),54.0 (4.1),98.54 (0.23)
retrain,NN,PI,59.1 (3.1),56.6 (3.0),98.67 (0.13)
retrain,MPN,Greedy,93.7 (0.9),90.7 (0.9),99.81 (0.04)
retrain,MPN,UCB,94.3 (0.4),91.6 (0.5),99.84 (0.01)
retrain,MPN,TS,90.8 (0.4),86.7 (0.6),99.71 (0.01)
retrain,MPN,EI,91.7 (0.7),87.4 (0.7),99.74 (0.01)
retrain,MPN,PI,92.1 (0.7),88.0 (0.9),99.76 (0.03)
online,RF,Greedy,66.9 (2.4),64.0 (2.4),99.01 (0.11)
online,RF,UCB,45.8 (1.6),44.1 (1.4),97.94 (0.09)
online,RF,TS,38.5 (4.3),36.9 (4.0),97.39 (0.31)
online,RF,EI,30.0 (7.1),29.0 (7.1),96.46 (0.75)
online,RF,PI,32.3 (5.5),31.1 (5.2),96.79 (0.60)
online,NN,Greedy,82.2 (0.8),78.1 (0.6),99.47 (0.03)
online,NN,UCB,70.7 (8.6),67.9 (8.3),99.13 (0.38)
online,NN,TS,72.5 (4.2),68.9 (3.9),99.19 (0.14)
online,NN,EI,40.9 (11.7),38.9 (11.1),97.49 (0.80)
online,NN,PI,39.3 (7.1),37.4 (6.9),97.46 (0.48)
online,MPN,Greedy,88.7 (1.3),84.1 (1.5),99.62 (0.04)
online,MPN,UCB,89.5 (0.3),85.1 (0.6),99.67 (0.02)
online,MPN,TS,89.3 (0.3),84.9 (0.4),99.65 (0.01)
online,MPN,EI,80.5 (3.1),76.8 (2.9),99.48 (0.07)
online,MPN,PI,77.8 (2.8),74.3 (2.7),99.41 (0.08)
