Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,80.0 (0.8),92.6 (1.3),95.5 (0.6),96.9 (0.4),97.6 (0.4),98.2 (0.3)
retrain,RF,UCB,79.8 (0.6),90.4 (0.3),94.0 (0.3),95.8 (0.3),97.0 (0.2),97.6 (0.2)
retrain,RF,TS,80.2 (0.4),88.8 (0.5),92.0 (0.4),93.5 (0.4),95.0 (0.4),96.0 (0.3)
retrain,RF,EI,79.2 (0.5),90.7 (1.4),94.1 (0.8),95.6 (0.6),96.7 (0.7),97.2 (0.8)
retrain,RF,PI,79.9 (1.1),90.3 (2.8),94.4 (1.1),96.5 (0.3),97.3 (0.3),97.8 (0.2)
retrain,NN,Greedy,79.1 (0.4),93.6 (1.2),96.7 (0.6),97.8 (0.4),98.4 (0.3),99.0 (0.2)
retrain,NN,UCB,80.0 (0.9),92.5 (0.7),95.9 (0.2),97.4 (0.2),98.2 (0.2),98.6 (0.2)
retrain,NN,TS,79.8 (0.5),92.4 (0.8),95.8 (0.4),97.4 (0.1),98.2 (0.2),98.7 (0.2)
retrain,NN,EI,79.7 (0.9),92.7 (0.8),96.3 (0.4),97.7 (0.2),98.1 (0.4),98.4 (0.4)
retrain,NN,PI,79.9 (0.9),92.8 (0.8),96.1 (0.4),97.4 (0.2),98.0 (0.3),98.6 (0.1)
retrain,MPN,Greedy,79.9 (0.5),92.6 (0.4),95.7 (0.6),97.5 (0.4),98.5 (0.2),98.9 (0.1)
retrain,MPN,UCB,78.9 (0.4),91.7 (1.0),95.5 (0.3),97.3 (0.4),98.2 (0.3),98.8 (0.2)
retrain,MPN,TS,79.2 (0.8),91.4 (0.8),95.1 (0.4),96.8 (0.4),97.9 (0.3),98.6 (0.2)
retrain,MPN,EI,79.4 (0.6),91.6 (0.9),95.6 (1.0),97.4 (0.5),98.2 (0.4),98.8 (0.2)
retrain,MPN,PI,80.0 (0.5),92.4 (0.8),95.7 (0.4),97.4 (0.2),98.4 (0.2),98.8 (0.2)
online,RF,Greedy,79.7 (0.6),92.8 (0.6),95.5 (0.6),96.8 (0.5),97.4 (0.3),97.9 (0.2)
online,RF,UCB,79.2 (0.7),89.5 (1.8),92.8 (0.8),94.7 (0.9),95.8 (0.6),96.5 (0.5)
online,RF,TS,79.0 (0.5),87.9 (0.6),90.8 (0.7),92.5 (0.4),93.7 (0.4),94.6 (0.3)
online,RF,EI,79.7 (0.9),89.9 (0.8),93.3 (0.7),95.0 (0.5),96.0 (0.7),96.5 (0.5)
online,RF,PI,79.9 (1.2),91.4 (0.5),94.3 (0.5),95.6 (0.4),96.2 (0.5),97.1 (0.6)
online,NN,Greedy,79.7 (0.5),92.9 (1.1),96.2 (0.6),97.5 (0.5),97.9 (0.5),98.5 (0.3)
online,NN,UCB,79.8 (0.8),92.5 (1.0),94.9 (1.0),96.1 (1.1),97.0 (1.1),97.6 (0.8)
online,NN,TS,79.7 (0.7),92.3 (0.6),95.2 (0.4),96.8 (0.2),97.6 (0.2),98.2 (0.2)
online,NN,EI,79.7 (0.5),92.8 (0.4),93.4 (1.2),94.9 (1.0),95.7 (1.0),96.1 (1.1)
online,NN,PI,79.9 (0.6),92.8 (1.0),94.9 (0.8),95.9 (0.7),96.4 (0.7),96.9 (0.9)
online,MPN,Greedy,79.9 (0.5),92.2 (1.1),94.5 (0.2),96.1 (0.2),96.9 (0.4),97.7 (0.5)
online,MPN,UCB,79.8 (0.6),91.8 (0.8),94.1 (0.6),96.0 (0.4),97.1 (0.5),97.8 (0.5)
online,MPN,TS,79.9 (0.7),91.6 (0.9),93.1 (1.2),95.7 (0.9),96.2 (0.9),97.4 (0.3)
online,MPN,EI,80.2 (1.0),92.9 (0.1),94.5 (0.3),96.1 (0.6),97.1 (0.3),97.8 (0.3)
online,MPN,PI,80.0 (0.6),92.0 (0.9),94.1 (0.5),95.6 (0.3),96.5 (0.4),97.4 (0.3)
