Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.8 (0.4),21.2 (2.6),37.6 (2.9),47.6 (2.2),53.6 (2.6),59.1 (2.9)
retrain,RF,UCB,0.8 (1.3),14.7 (4.1),27.2 (2.8),35.2 (1.4),43.4 (1.2),49.0 (1.4)
retrain,RF,TS,0.8 (0.6),7.2 (1.3),16.0 (1.4),24.3 (2.3),32.4 (2.3),39.8 (2.9)
retrain,RF,EI,0.4 (0.8),11.3 (3.9),21.0 (5.5),30.3 (5.8),36.2 (4.9),41.9 (2.7)
retrain,RF,PI,0.4 (0.8),14.7 (4.0),28.1 (1.9),35.0 (1.1),41.8 (1.7),45.5 (2.4)
retrain,NN,Greedy,0.5 (0.5),25.7 (1.7),45.6 (1.4),58.6 (1.5),67.9 (1.8),74.8 (1.1)
retrain,NN,UCB,0.7 (0.5),23.1 (2.0),44.5 (1.7),58.1 (0.9),67.1 (1.9),74.4 (1.4)
retrain,NN,TS,1.0 (0.6),21.6 (2.3),41.4 (2.5),56.3 (2.1),66.2 (1.2),73.4 (2.3)
retrain,NN,EI,0.3 (0.3),22.2 (1.9),40.2 (1.2),50.1 (4.0),59.9 (1.5),66.1 (3.0)
retrain,NN,PI,0.2 (0.5),23.9 (2.7),42.0 (2.3),52.2 (7.0),60.6 (5.3),67.2 (4.0)
retrain,MPN,Greedy,0.9 (0.4),24.9 (1.7),43.4 (1.1),56.8 (1.7),66.4 (1.3),72.9 (1.3)
retrain,MPN,UCB,0.2 (0.6),25.0 (0.5),41.9 (1.7),56.1 (1.0),65.5 (0.8),72.7 (0.5)
retrain,MPN,TS,0.1 (0.5),14.0 (3.1),30.6 (2.9),48.8 (1.5),60.5 (1.4),70.4 (0.7)
retrain,MPN,EI,0.4 (1.0),23.2 (1.3),41.3 (1.2),54.0 (1.7),62.2 (1.4),67.2 (0.9)
retrain,MPN,PI,0.7 (0.3),23.5 (3.1),41.7 (2.2),55.2 (1.6),63.7 (1.2),69.2 (1.7)
online,RF,Greedy,0.2 (0.3),20.6 (1.8),36.0 (1.2),47.6 (1.6),53.8 (1.4),60.4 (1.2)
online,RF,UCB,0.6 (0.7),14.6 (1.1),21.7 (3.5),30.1 (3.3),37.8 (3.3),43.5 (1.8)
online,RF,TS,0.2 (0.3),6.8 (2.0),12.3 (1.5),18.4 (1.6),23.6 (1.4),28.0 (1.2)
online,RF,EI,0.4 (0.6),11.9 (2.8),20.1 (1.1),27.6 (3.6),33.1 (5.4),38.6 (2.7)
online,RF,PI,0.6 (0.6),14.8 (3.0),26.4 (1.6),33.4 (2.9),40.7 (2.9),46.4 (1.8)
online,NN,Greedy,0.8 (0.6),26.6 (2.1),40.3 (2.1),53.4 (2.0),60.3 (2.4),66.5 (2.2)
online,NN,UCB,0.5 (0.9),23.9 (4.3),31.1 (5.0),41.9 (9.9),47.2 (10.3),52.7 (10.1)
online,NN,TS,0.7 (0.5),21.8 (1.9),33.1 (3.4),42.2 (4.2),50.5 (5.7),55.9 (3.5)
online,NN,EI,0.7 (0.4),22.9 (3.2),25.8 (5.1),34.8 (8.7),37.8 (7.5),39.5 (9.2)
online,NN,PI,0.7 (0.8),22.2 (1.8),26.3 (5.8),33.3 (10.1),37.8 (7.9),38.8 (7.2)
online,MPN,Greedy,0.4 (0.7),23.5 (1.8),31.0 (3.6),43.8 (3.0),51.1 (5.3),58.4 (4.9)
online,MPN,UCB,0.6 (0.5),23.8 (1.3),36.6 (2.3),47.9 (1.7),56.4 (4.4),64.6 (3.5)
online,MPN,TS,0.6 (0.7),15.0 (2.4),28.4 (1.7),41.7 (3.6),53.7 (2.8),62.2 (2.7)
online,MPN,EI,0.6 (0.4),22.6 (3.6),35.5 (1.9),47.9 (1.1),56.2 (2.2),63.3 (2.6)
online,MPN,PI,0.5 (0.2),23.6 (1.2),30.6 (4.4),42.5 (5.3),49.0 (8.5),57.7 (8.1)
