Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,1.1 (0.4),20.1 (2.6),35.4 (3.0),44.5 (2.6),50.2 (2.9),55.1 (3.0)
retrain,RF,UCB,1.1 (0.8),14.1 (4.0),26.2 (2.6),33.8 (1.3),41.8 (0.8),46.9 (1.3)
retrain,RF,TS,1.2 (0.2),6.8 (1.3),15.0 (1.6),23.0 (2.4),30.8 (2.4),37.6 (2.9)
retrain,RF,EI,0.8 (0.5),11.0 (3.9),20.4 (5.7),29.0 (5.9),34.6 (5.1),40.1 (2.7)
retrain,RF,PI,0.9 (0.6),14.1 (3.7),27.0 (1.8),33.6 (1.3),40.0 (1.6),43.4 (2.2)
retrain,NN,Greedy,0.8 (0.3),24.6 (1.7),43.2 (1.3),55.4 (1.4),64.0 (1.7),70.1 (1.1)
retrain,NN,UCB,0.9 (0.5),21.6 (2.2),41.5 (1.9),54.3 (1.2),62.9 (1.7),70.0 (1.2)
retrain,NN,TS,1.2 (0.5),20.6 (2.2),39.6 (2.3),53.0 (1.7),62.2 (1.4),68.9 (2.3)
retrain,NN,EI,0.8 (0.2),21.0 (2.2),38.1 (1.2),47.2 (4.0),56.6 (1.6),62.2 (2.9)
retrain,NN,PI,0.8 (0.3),22.6 (2.4),39.8 (1.9),49.4 (6.3),57.2 (4.7),63.1 (3.5)
retrain,MPN,Greedy,1.0 (0.5),23.6 (1.4),40.6 (1.1),53.4 (1.4),62.6 (1.2),68.8 (1.0)
retrain,MPN,UCB,0.9 (0.6),23.7 (0.4),39.2 (1.3),52.6 (0.9),61.6 (0.7),68.4 (0.4)
retrain,MPN,TS,0.8 (0.3),13.2 (3.0),28.4 (2.9),45.7 (1.6),56.8 (1.2),66.0 (0.7)
retrain,MPN,EI,0.9 (0.6),22.1 (1.3),38.6 (1.3),50.4 (1.6),58.1 (1.1),62.9 (0.9)
retrain,MPN,PI,1.4 (0.2),22.4 (2.9),39.3 (1.9),52.0 (1.6),59.9 (1.3),64.9 (1.5)
online,RF,Greedy,0.8 (0.4),19.2 (1.7),33.4 (1.0),44.4 (1.5),50.2 (1.2),56.4 (0.9)
online,RF,UCB,0.9 (0.3),14.0 (0.9),20.7 (3.5),28.8 (3.3),36.0 (3.3),41.4 (1.9)
online,RF,TS,1.0 (0.4),6.4 (1.9),11.8 (1.6),17.6 (1.5),22.4 (1.4),26.7 (1.3)
online,RF,EI,0.9 (0.4),11.5 (3.0),19.4 (1.4),26.7 (3.7),31.9 (5.3),37.1 (2.7)
online,RF,PI,1.2 (0.2),14.3 (2.5),25.6 (1.4),32.0 (2.7),39.2 (2.7),44.6 (1.4)
online,NN,Greedy,1.0 (0.4),25.2 (2.1),38.1 (1.9),50.2 (2.1),56.9 (2.5),62.8 (2.0)
online,NN,UCB,1.1 (0.7),22.8 (4.0),29.5 (4.5),39.7 (9.4),44.8 (9.7),49.9 (9.3)
online,NN,TS,1.0 (0.5),20.5 (1.8),31.1 (3.4),39.6 (4.0),47.4 (5.4),52.6 (3.3)
online,NN,EI,1.3 (0.2),21.5 (3.0),24.3 (4.9),32.7 (8.2),35.5 (6.9),37.1 (8.6)
online,NN,PI,1.3 (0.4),21.2 (1.5),25.0 (5.4),31.5 (9.4),35.8 (7.6),36.7 (6.8)
online,MPN,Greedy,1.0 (0.3),22.0 (1.8),28.8 (3.1),40.9 (2.6),47.9 (5.0),54.8 (4.6)
online,MPN,UCB,1.0 (0.5),22.5 (1.3),34.1 (2.2),44.8 (1.9),52.8 (4.3),60.6 (3.5)
online,MPN,TS,1.0 (0.4),14.2 (2.2),26.8 (1.4),39.3 (3.3),50.6 (2.6),58.4 (2.3)
online,MPN,EI,1.0 (0.3),21.2 (3.2),33.1 (1.7),44.8 (1.0),52.5 (2.2),59.2 (2.5)
online,MPN,PI,1.2 (0.1),22.4 (1.2),28.8 (3.6),40.0 (4.9),46.1 (8.0),54.3 (7.6)
