Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,54.6 (0.0),91.9 (0.4),94.5 (0.3),95.7 (0.3),96.6 (0.1),97.2 (0.1)
retrain,RF,UCB,54.6 (0.1),89.7 (0.4),91.2 (0.5),92.0 (0.3),93.5 (0.2),94.8 (0.4)
retrain,RF,TS,54.6 (0.0),90.0 (0.1),93.0 (0.3),94.8 (0.1),95.8 (0.2),96.8 (0.2)
retrain,RF,EI,54.6 (0.0),88.8 (0.4),89.9 (0.3),90.4 (0.2),91.6 (0.6),92.4 (0.9)
retrain,RF,PI,54.6 (0.0),89.8 (0.1),90.7 (0.5),91.3 (0.6),92.1 (0.7),92.8 (0.4)
retrain,NN,Greedy,54.6 (0.0),92.0 (0.3),95.1 (0.1),96.4 (0.0),97.2 (0.0),97.7 (0.0)
retrain,NN,UCB,54.6 (0.0),91.7 (0.3),94.9 (0.1),96.2 (0.2),96.9 (0.1),97.5 (0.0)
retrain,NN,TS,54.6 (0.0),91.4 (0.1),94.6 (0.0),96.1 (0.0),96.9 (0.0),97.5 (0.1)
retrain,NN,EI,54.6 (0.0),91.5 (0.2),92.9 (0.6),93.7 (0.6),93.9 (0.4),94.7 (0.2)
retrain,NN,PI,54.6 (0.0),91.6 (0.2),93.4 (0.2),93.8 (0.3),94.1 (0.2),94.4 (0.2)
retrain,MPN,Greedy,54.5 (0.0),92.6 (0.2),96.6 (0.2),97.9 (0.1),98.5 (0.1),98.6 (0.1)
retrain,MPN,UCB,54.6 (0.0),91.1 (0.3),95.4 (0.1),97.6 (0.0),98.7 (0.1),99.2 (0.0)
retrain,MPN,TS,54.6 (0.0),91.8 (0.3),95.9 (0.1),97.6 (0.1),98.1 (0.3),98.7 (0.2)
retrain,MPN,EI,54.6 (0.0),91.1 (0.1),94.2 (0.1),95.8 (0.1),97.0 (0.0),97.7 (0.0)
retrain,MPN,PI,54.6 (0.1),91.2 (0.3),94.5 (0.2),96.1 (0.1),97.3 (0.1),97.8 (0.0)
online,RF,Greedy,54.5 (0.1),92.1 (0.1),92.7 (0.2),94.4 (0.3),94.6 (0.3),95.7 (0.2)
online,RF,UCB,54.6 (0.0),89.7 (0.2),89.8 (0.3),92.3 (0.3),92.4 (0.3),93.2 (0.5)
online,RF,TS,54.6 (0.0),90.0 (0.2),90.5 (0.2),93.6 (0.1),93.6 (0.1),94.8 (0.5)
online,RF,EI,54.6 (0.1),89.1 (0.2),89.2 (0.2),91.7 (0.7),92.1 (0.7),93.0 (0.7)
online,RF,PI,54.6 (0.0),89.2 (0.3),89.4 (0.4),91.3 (1.0),92.2 (0.1),93.0 (0.6)
online,NN,Greedy,54.6 (0.0),91.8 (0.1),92.6 (0.4),93.7 (1.2),94.0 (1.1),94.7 (1.1)
online,NN,UCB,54.6 (0.0),91.3 (0.1),91.6 (0.0),92.7 (0.8),92.9 (0.8),93.3 (1.1)
online,NN,TS,54.6 (0.0),91.1 (0.3),91.4 (0.4),92.3 (1.5),92.5 (1.7),92.8 (2.1)
online,NN,EI,54.6 (0.0),91.3 (0.2),91.3 (0.2),91.4 (0.3),91.5 (0.2),91.5 (0.2)
online,NN,PI,54.6 (0.1),91.5 (0.0),91.5 (0.0),92.2 (0.9),92.2 (0.9),92.3 (0.9)
online,MPN,Greedy,54.6 (0.0),92.9 (0.3),95.3 (0.5),97.3 (0.3),97.4 (0.2),97.4 (0.2)
online,MPN,UCB,54.6 (0.1),91.6 (0.4),93.0 (0.6),95.9 (0.3),96.5 (0.5),96.8 (0.7)
online,MPN,TS,54.6 (0.0),91.6 (0.4),95.7 (0.1),97.5 (0.1),98.2 (0.1),98.5 (0.2)
online,MPN,EI,54.6 (0.0),91.5 (0.4),92.6 (0.2),95.3 (0.2),96.0 (0.2),97.0 (0.2)
online,MPN,PI,54.6 (0.0),91.5 (0.1),92.7 (0.2),95.3 (0.0),96.0 (0.0),96.9 (0.1)
