Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.4 (0.0),22.0 (0.8),37.7 (2.5),51.6 (2.1),62.7 (2.7),71.4 (2.1)
retrain,RF,UCB,0.4 (0.0),17.6 (1.6),20.8 (2.1),31.5 (4.1),42.1 (7.0),49.2 (7.7)
retrain,RF,TS,0.4 (0.0),19.0 (0.5),33.3 (0.8),49.0 (0.9),59.9 (2.6),71.7 (1.9)
retrain,RF,EI,0.4 (0.0),11.6 (0.8),13.3 (0.7),16.2 (0.3),21.4 (0.6),29.1 (4.4)
retrain,RF,PI,0.4 (0.0),11.4 (0.3),13.1 (1.1),16.1 (2.6),18.5 (3.4),26.4 (4.7)
retrain,NN,Greedy,0.4 (0.0),25.1 (0.8),44.4 (0.4),58.7 (0.3),68.3 (0.9),74.7 (1.4)
retrain,NN,UCB,0.4 (0.0),21.7 (2.2),40.1 (1.7),55.7 (0.5),66.9 (0.3),68.4 (1.4)
retrain,NN,TS,0.4 (0.0),20.9 (0.6),40.5 (0.4),55.0 (0.5),65.3 (1.3),73.8 (1.2)
retrain,NN,EI,0.4 (0.0),20.9 (1.2),26.0 (2.5),32.1 (0.5),38.1 (3.2),41.8 (1.8)
retrain,NN,PI,0.4 (0.0),21.3 (0.5),27.0 (0.1),36.4 (2.1),39.4 (1.6),43.9 (2.1)
retrain,MPN,Greedy,0.4 (0.0),29.2 (1.2),60.6 (2.1),75.2 (1.6),81.4 (3.2),87.9 (2.3)
retrain,MPN,UCB,0.4 (0.0),28.2 (0.3),62.9 (0.9),83.2 (0.7),91.1 (0.1),94.8 (0.1)
retrain,MPN,TS,0.4 (0.0),25.5 (1.2),53.6 (0.5),70.0 (0.9),81.0 (0.2),87.9 (0.2)
retrain,MPN,EI,0.4 (0.0),22.1 (1.9),40.4 (2.2),58.2 (1.5),66.9 (7.9),75.4 (5.4)
retrain,MPN,PI,0.4 (0.0),23.5 (1.0),44.5 (1.0),59.5 (1.1),70.5 (1.5),78.3 (0.9)
online,RF,Greedy,0.4 (0.0),22.2 (1.9),23.6 (1.9),39.2 (1.5),40.3 (2.0),52.3 (3.6)
online,RF,UCB,0.4 (0.0),15.9 (1.2),16.3 (1.3),31.3 (2.1),32.5 (1.6),35.8 (3.1)
online,RF,TS,0.4 (0.0),18.6 (0.3),20.5 (0.6),36.4 (0.7),37.2 (0.9),50.7 (1.5)
online,RF,EI,0.4 (0.0),11.4 (1.7),11.9 (1.9),22.7 (7.7),25.1 (7.8),27.1 (8.0)
online,RF,PI,0.4 (0.0),12.2 (1.1),12.5 (1.1),17.6 (3.3),21.0 (0.9),24.8 (2.9)
online,NN,Greedy,0.4 (0.0),23.5 (0.9),26.7 (0.9),40.4 (1.8),42.4 (2.4),50.7 (5.2)
online,NN,UCB,0.4 (0.0),22.5 (0.1),23.0 (0.7),27.9 (7.6),28.2 (7.7),30.0 (9.7)
online,NN,TS,0.4 (0.0),21.3 (1.0),24.9 (4.3),30.7 (8.1),31.4 (8.8),31.6 (8.6)
online,NN,EI,0.4 (0.0),21.8 (0.1),23.0 (1.7),32.1 (7.7),32.8 (8.5),36.3 (12.6)
online,NN,PI,0.4 (0.0),21.4 (1.5),21.5 (1.5),21.5 (1.5),21.6 (1.6),21.9 (1.6)
online,MPN,Greedy,0.4 (0.0),32.4 (1.7),46.5 (0.8),66.3 (1.0),68.3 (2.0),73.7 (5.7)
online,MPN,UCB,0.4 (0.0),26.7 (0.4),43.1 (3.6),66.7 (2.4),71.9 (2.2),77.8 (5.8)
online,MPN,TS,0.4 (0.0),26.4 (0.8),49.8 (2.5),67.3 (1.9),71.4 (3.9),74.0 (5.2)
online,MPN,EI,0.4 (0.0),24.9 (3.5),30.9 (3.3),47.4 (3.4),48.8 (2.8),60.9 (2.2)
online,MPN,PI,0.4 (0.0),23.4 (0.5),29.0 (0.2),49.7 (0.3),52.3 (2.3),60.2 (7.8)
