Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.4 (0.0),22.0 (0.8),37.7 (2.5),51.6 (2.1),62.7 (2.7),71.3 (2.1)
retrain,RF,UCB,0.4 (0.0),17.5 (1.6),20.8 (2.1),31.5 (4.1),42.1 (7.0),49.1 (7.7)
retrain,RF,TS,0.4 (0.0),19.0 (0.5),33.3 (0.8),49.0 (0.9),59.9 (2.6),71.6 (1.9)
retrain,RF,EI,0.4 (0.0),11.6 (0.8),13.3 (0.7),16.1 (0.3),21.4 (0.6),29.1 (4.4)
retrain,RF,PI,0.4 (0.0),11.4 (0.3),13.1 (1.1),16.1 (2.6),18.5 (3.4),26.4 (4.7)
retrain,NN,Greedy,0.4 (0.0),25.1 (0.8),44.3 (0.4),58.6 (0.3),68.2 (0.9),74.6 (1.4)
retrain,NN,UCB,0.4 (0.0),21.6 (2.2),40.1 (1.7),55.6 (0.5),66.8 (0.3),68.3 (1.4)
retrain,NN,TS,0.4 (0.0),20.9 (0.6),40.5 (0.4),54.9 (0.5),65.2 (1.3),73.7 (1.2)
retrain,NN,EI,0.4 (0.0),20.8 (1.2),26.0 (2.5),32.0 (0.5),38.0 (3.2),41.8 (1.8)
retrain,NN,PI,0.4 (0.0),21.3 (0.5),26.9 (0.1),36.4 (2.1),39.4 (1.6),43.9 (2.1)
retrain,MPN,Greedy,0.4 (0.0),29.2 (1.2),60.5 (2.1),75.1 (1.6),81.3 (3.2),87.9 (2.3)
retrain,MPN,UCB,0.4 (0.0),28.1 (0.3),62.9 (0.9),83.2 (0.7),91.1 (0.1),94.7 (0.1)
retrain,MPN,TS,0.4 (0.0),25.5 (1.2),53.5 (0.5),69.9 (0.9),81.0 (0.2),87.9 (0.2)
retrain,MPN,EI,0.4 (0.0),22.1 (1.9),40.4 (2.2),58.1 (1.5),66.8 (7.9),75.4 (5.4)
retrain,MPN,PI,0.4 (0.0),23.5 (1.0),44.4 (1.0),59.4 (1.1),70.5 (1.5),78.2 (0.9)
online,RF,Greedy,0.4 (0.0),22.1 (1.9),23.6 (1.9),39.2 (1.5),40.3 (2.0),52.3 (3.6)
online,RF,UCB,0.4 (0.0),15.9 (1.2),16.3 (1.3),31.3 (2.1),32.4 (1.6),35.7 (3.1)
online,RF,TS,0.4 (0.0),18.6 (0.3),20.4 (0.6),36.4 (0.7),37.2 (0.9),50.7 (1.5)
online,RF,EI,0.4 (0.0),11.4 (1.7),11.9 (1.8),22.7 (7.7),25.1 (7.8),27.0 (8.0)
online,RF,PI,0.4 (0.0),12.2 (1.1),12.5 (1.1),17.6 (3.3),20.9 (0.9),24.8 (2.9)
online,NN,Greedy,0.4 (0.0),23.4 (0.9),26.6 (0.9),40.3 (1.8),42.4 (2.4),50.7 (5.2)
online,NN,UCB,0.4 (0.0),22.5 (0.1),23.0 (0.7),27.9 (7.6),28.2 (7.7),30.0 (9.7)
online,NN,TS,0.4 (0.0),21.3 (1.0),24.9 (4.3),30.6 (8.1),31.3 (8.8),31.6 (8.6)
online,NN,EI,0.4 (0.0),21.7 (0.1),23.0 (1.7),32.1 (7.7),32.8 (8.5),36.2 (12.6)
online,NN,PI,0.4 (0.0),21.4 (1.5),21.4 (1.5),21.5 (1.5),21.6 (1.6),21.9 (1.6)
online,MPN,Greedy,0.4 (0.0),32.4 (1.7),46.5 (0.8),66.3 (1.0),68.2 (2.0),73.7 (5.7)
online,MPN,UCB,0.4 (0.0),26.7 (0.4),43.1 (3.6),66.7 (2.4),71.8 (2.2),77.7 (5.8)
online,MPN,TS,0.4 (0.0),26.4 (0.8),49.7 (2.5),67.2 (1.9),71.3 (3.9),73.9 (5.2)
online,MPN,EI,0.4 (0.0),24.9 (3.5),30.8 (3.3),47.4 (3.4),48.7 (2.8),60.9 (2.2)
online,MPN,PI,0.4 (0.0),23.4 (0.5),28.9 (0.2),49.6 (0.3),52.2 (2.3),60.2 (7.8)
