Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,77.1 (0.2),93.3 (0.6),96.6 (0.2),97.5 (0.2),98.0 (0.1),98.5 (0.2)
retrain,RF,UCB,77.3 (0.2),89.1 (4.5),94.8 (0.8),96.1 (0.4),96.9 (0.4),97.2 (0.4)
retrain,RF,TS,77.1 (0.2),88.7 (0.2),93.6 (0.4),95.8 (0.2),96.8 (0.1),97.4 (0.2)
retrain,RF,EI,77.0 (0.2),89.7 (1.9),93.5 (0.8),94.6 (0.5),95.2 (0.6),95.6 (0.4)
retrain,RF,PI,77.1 (0.2),92.0 (1.1),94.7 (0.3),95.5 (0.5),95.9 (0.3),96.3 (0.4)
retrain,NN,Greedy,76.9 (0.3),94.7 (0.5),97.4 (0.2),98.3 (0.1),98.8 (0.1),99.1 (0.1)
retrain,NN,UCB,77.1 (0.2),95.0 (0.3),97.2 (0.4),98.2 (0.1),98.8 (0.1),99.0 (0.0)
retrain,NN,TS,76.9 (0.2),93.8 (0.3),97.0 (0.2),98.1 (0.1),98.7 (0.1),99.1 (0.0)
retrain,NN,EI,77.1 (0.3),94.6 (0.3),96.4 (0.6),97.0 (0.6),97.4 (0.4),97.7 (0.3)
retrain,NN,PI,77.0 (0.2),94.5 (0.2),96.6 (0.5),97.2 (0.2),97.6 (0.2),97.9 (0.2)
retrain,MPN,Greedy,77.2 (0.1),96.1 (0.3),98.3 (0.1),98.9 (0.1),99.3 (0.0),99.5 (0.0)
retrain,MPN,UCB,77.2 (0.2),95.9 (0.4),98.3 (0.1),99.1 (0.0),99.4 (0.0),99.5 (0.0)
retrain,MPN,TS,76.9 (0.2),93.1 (0.5),97.1 (0.4),98.4 (0.2),98.9 (0.1),99.3 (0.0)
retrain,MPN,EI,77.1 (0.1),95.9 (0.4),98.0 (0.2),98.9 (0.1),99.2 (0.1),99.4 (0.0)
retrain,MPN,PI,77.1 (0.2),96.0 (0.6),98.1 (0.1),98.8 (0.1),99.2 (0.0),99.4 (0.0)
online,RF,Greedy,77.0 (0.1),93.2 (0.9),95.6 (0.4),96.7 (0.3),97.1 (0.3),97.6 (0.5)
online,RF,UCB,77.0 (0.2),91.6 (1.3),93.4 (1.4),94.3 (1.4),95.2 (1.0),95.8 (0.9)
online,RF,TS,77.2 (0.2),88.7 (0.5),91.6 (1.0),93.6 (0.8),94.9 (0.4),95.6 (0.3)
online,RF,EI,77.2 (0.1),90.8 (1.5),91.6 (1.6),93.2 (2.1),94.3 (1.6),94.9 (1.3)
online,RF,PI,77.1 (0.2),91.8 (0.9),93.1 (0.9),94.5 (0.7),95.3 (1.1),96.1 (0.9)
online,NN,Greedy,77.3 (0.3),94.6 (0.5),97.1 (0.3),98.1 (0.1),98.7 (0.1),99.0 (0.1)
online,NN,UCB,76.8 (0.2),94.5 (0.4),96.2 (1.3),97.0 (1.1),97.4 (1.0),97.9 (0.6)
online,NN,TS,77.0 (0.2),93.5 (0.3),96.0 (1.2),96.9 (1.0),97.6 (0.5),97.9 (0.6)
online,NN,EI,77.2 (0.2),94.5 (0.3),94.9 (0.8),95.3 (1.3),95.7 (1.0),96.2 (1.0)
online,NN,PI,77.2 (0.1),94.2 (0.2),95.5 (0.6),97.1 (0.3),97.3 (0.2),97.4 (0.3)
online,MPN,Greedy,77.1 (0.2),95.8 (0.3),97.5 (0.2),98.6 (0.1),98.9 (0.2),99.2 (0.1)
online,MPN,UCB,77.2 (0.1),96.1 (0.2),98.1 (0.2),98.9 (0.1),99.1 (0.1),99.3 (0.1)
online,MPN,TS,77.0 (0.1),93.1 (0.3),97.3 (0.2),98.5 (0.1),99.0 (0.1),99.2 (0.0)
online,MPN,EI,77.0 (0.3),95.7 (0.4),97.9 (0.1),98.5 (0.1),98.8 (0.0),99.0 (0.1)
online,MPN,PI,77.0 (0.2),96.1 (0.4),98.0 (0.2),98.6 (0.1),98.8 (0.1),99.0 (0.1)
