Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.2 (0.1),14.1 (2.6),30.7 (1.5),39.0 (2.4),45.9 (1.7),55.8 (4.9)
retrain,RF,UCB,0.1 (0.1),6.9 (3.4),20.8 (3.0),27.4 (3.7),34.0 (3.8),36.2 (4.2)
retrain,RF,TS,0.1 (0.1),3.8 (0.9),15.1 (2.1),25.2 (1.9),32.7 (1.7),38.8 (2.5)
retrain,RF,EI,0.1 (0.1),4.5 (2.6),14.0 (3.6),18.1 (3.2),20.8 (3.7),22.6 (2.7)
retrain,RF,PI,0.1 (0.1),10.6 (4.4),18.6 (2.1),22.7 (3.4),25.3 (2.1),27.9 (2.7)
retrain,NN,Greedy,0.2 (0.1),18.0 (3.2),39.1 (2.8),53.0 (2.3),63.0 (1.8),70.5 (1.8)
retrain,NN,UCB,0.1 (0.1),20.6 (2.2),36.3 (3.5),50.8 (1.7),61.5 (1.7),68.0 (0.9)
retrain,NN,TS,0.1 (0.1),14.4 (2.0),34.2 (2.7),48.1 (1.1),60.0 (1.1),68.0 (0.8)
retrain,NN,EI,0.1 (0.1),17.9 (1.6),29.2 (5.0),34.3 (5.6),39.3 (4.4),43.3 (3.8)
retrain,NN,PI,0.1 (0.1),18.0 (1.0),31.5 (3.0),37.2 (1.7),41.1 (2.0),46.3 (2.3)
retrain,MPN,Greedy,0.1 (0.1),29.4 (1.6),51.5 (1.8),65.2 (1.4),74.7 (0.9),82.2 (0.9)
retrain,MPN,UCB,0.2 (0.2),27.3 (3.3),51.2 (2.4),66.9 (1.4),77.2 (1.1),84.0 (0.8)
retrain,MPN,TS,0.1 (0.0),12.6 (2.1),35.3 (4.1),53.0 (3.4),65.4 (3.4),74.8 (1.9)
retrain,MPN,EI,0.1 (0.1),28.1 (3.2),45.4 (2.7),61.6 (1.3),70.2 (1.4),77.0 (1.2)
retrain,MPN,PI,0.1 (0.1),28.5 (4.3),47.4 (1.7),60.7 (1.5),69.8 (1.4),76.1 (0.9)
online,RF,Greedy,0.0 (0.0),13.2 (3.5),24.2 (3.5),31.3 (3.8),35.4 (3.7),41.0 (6.5)
online,RF,UCB,0.1 (0.0),10.0 (5.0),15.7 (5.2),18.5 (6.0),22.6 (6.0),26.2 (6.8)
online,RF,TS,0.2 (0.1),3.9 (0.8),9.7 (2.7),15.4 (3.4),20.4 (2.0),24.1 (1.6)
online,RF,EI,0.1 (0.1),7.8 (3.4),9.7 (4.4),14.3 (6.5),17.9 (5.7),20.2 (5.5)
online,RF,PI,0.1 (0.1),10.0 (2.6),13.7 (2.8),18.9 (3.4),22.9 (6.5),27.1 (5.7)
online,NN,Greedy,0.2 (0.1),17.7 (3.0),35.4 (3.1),49.2 (2.1),59.5 (1.7),65.8 (2.2)
online,NN,UCB,0.0 (0.0),17.7 (2.8),29.5 (8.7),35.9 (10.3),40.7 (11.1),45.8 (8.9)
online,NN,TS,0.2 (0.1),13.6 (1.2),27.5 (6.9),35.4 (8.7),42.1 (7.3),46.1 (9.1)
online,NN,EI,0.1 (0.0),17.3 (2.4),19.5 (5.7),22.5 (9.8),23.9 (9.1),27.4 (9.6)
online,NN,PI,0.2 (0.1),16.1 (0.9),24.0 (3.8),35.2 (3.4),37.3 (2.0),38.8 (3.6)
online,MPN,Greedy,0.1 (0.1),26.6 (2.4),40.8 (2.6),58.4 (2.8),65.3 (4.7),71.9 (3.3)
online,MPN,UCB,0.1 (0.1),28.9 (1.7),47.7 (2.7),62.2 (1.5),68.7 (2.0),75.8 (2.1)
online,MPN,TS,0.0 (0.0),12.6 (1.6),38.0 (2.1),56.1 (2.7),66.6 (2.0),73.3 (1.0)
online,MPN,EI,0.1 (0.0),26.5 (2.8),44.2 (1.5),53.6 (1.9),59.9 (1.2),63.8 (1.4)
online,MPN,PI,0.1 (0.1),29.2 (2.2),45.8 (2.0),55.2 (1.1),60.7 (1.9),64.3 (1.8)
