Training,Model,Metric,iter_0 ($\pm$ s.d.),iter_1 ($\pm$ s.d.),iter_2 ($\pm$ s.d.),iter_3 ($\pm$ s.d.),iter_4 ($\pm$ s.d.),iter_5 ($\pm$ s.d.)
retrain,RF,Greedy,0.2 (0.1),20.2 (4.7),38.8 (3.5),51.9 (3.3),62.7 (2.4),69.0 (1.9)
retrain,RF,UCB,0.2 (0.1),18.3 (3.7),33.6 (1.7),41.4 (1.3),45.1 (2.8),48.9 (2.9)
retrain,RF,TS,0.3 (0.1),8.9 (1.2),25.1 (2.2),40.0 (1.0),48.4 (1.4),54.8 (1.5)
retrain,RF,EI,0.1 (0.1),14.7 (3.5),22.8 (5.2),27.4 (3.4),29.4 (3.8),31.3 (3.0)
retrain,RF,PI,0.2 (0.1),15.2 (1.7),21.2 (3.9),25.9 (4.9),26.7 (4.8),28.3 (5.0)
retrain,NN,Greedy,0.3 (0.2),29.4 (2.6),55.5 (2.3),68.4 (1.7),78.0 (0.5),83.9 (0.8)
retrain,NN,UCB,0.2 (0.1),29.7 (2.4),56.0 (2.1),69.5 (1.7),77.9 (1.8),82.1 (0.6)
retrain,NN,TS,0.2 (0.1),20.5 (1.9),44.9 (1.4),61.8 (2.2),74.2 (1.3),80.4 (0.9)
retrain,NN,EI,0.3 (0.2),26.3 (2.1),40.4 (3.3),46.1 (3.6),51.7 (4.0),54.0 (4.1)
retrain,NN,PI,0.2 (0.2),26.6 (2.1),38.4 (3.1),45.3 (2.2),51.2 (2.7),56.6 (3.0)
retrain,MPN,Greedy,0.2 (0.0),47.2 (0.6),70.3 (1.6),81.8 (1.9),87.2 (1.4),90.7 (0.9)
retrain,MPN,UCB,0.2 (0.1),47.1 (3.2),71.5 (1.2),83.4 (0.3),88.5 (0.5),91.6 (0.5)
retrain,MPN,TS,0.2 (0.1),22.2 (5.3),54.3 (2.7),71.3 (1.2),81.1 (0.7),86.7 (0.6)
retrain,MPN,EI,0.2 (0.1),41.7 (4.3),65.4 (1.4),78.3 (1.0),83.8 (1.2),87.4 (0.7)
retrain,MPN,PI,0.2 (0.1),43.3 (2.4),67.9 (2.4),79.2 (1.4),84.2 (1.0),88.0 (0.9)
online,RF,Greedy,0.2 (0.1),25.5 (4.6),43.2 (5.2),53.7 (0.5),60.1 (2.2),64.0 (2.4)
online,RF,UCB,0.3 (0.1),18.0 (8.5),23.2 (9.6),32.2 (9.1),36.1 (7.8),44.1 (1.4)
online,RF,TS,0.2 (0.1),7.7 (0.7),16.7 (3.9),25.8 (5.3),33.4 (4.6),36.9 (4.0)
online,RF,EI,0.2 (0.1),15.4 (4.3),17.0 (3.7),23.2 (3.8),27.0 (5.5),29.0 (7.1)
online,RF,PI,0.1 (0.1),14.6 (5.0),17.3 (4.7),22.9 (5.3),28.3 (4.7),31.1 (5.2)
online,NN,Greedy,0.2 (0.1),28.1 (5.4),51.7 (4.3),66.3 (2.1),74.4 (0.9),78.1 (0.6)
online,NN,UCB,0.2 (0.1),29.0 (3.5),48.5 (8.6),57.8 (9.4),65.0 (6.6),67.9 (8.3)
online,NN,TS,0.2 (0.2),19.6 (0.4),41.5 (9.6),54.0 (7.5),63.5 (6.0),68.9 (3.9)
online,NN,EI,0.1 (0.0),27.1 (0.9),30.4 (4.9),36.1 (11.5),37.8 (10.3),38.9 (11.1)
online,NN,PI,0.2 (0.1),27.0 (1.3),29.3 (3.3),34.7 (8.5),35.9 (7.7),37.4 (6.9)
online,MPN,Greedy,0.1 (0.1),44.3 (2.9),62.6 (1.2),75.1 (1.3),80.6 (0.7),84.1 (1.5)
online,MPN,UCB,0.2 (0.1),46.4 (1.6),64.0 (2.1),76.8 (2.2),81.4 (1.4),85.1 (0.6)
online,MPN,TS,0.3 (0.2),24.0 (1.8),56.4 (2.0),73.5 (1.1),80.5 (0.7),84.9 (0.4)
online,MPN,EI,0.2 (0.1),44.1 (2.6),62.6 (2.2),71.3 (2.9),74.3 (2.9),76.8 (2.9)
online,MPN,PI,0.2 (0.1),44.4 (3.8),62.9 (1.9),69.6 (2.2),72.9 (2.7),74.3 (2.7)
